iter	Passed	Remaining
0	0	530
1	1	506
2	1	498
3	2	488
4	2	478
5	3	472
6	3	469
7	4	467
8	4	462
9	5	459
10	5	460
11	6	461
12	6	463
13	7	467
14	7	467
15	8	467
16	9	470
17	9	470
18	10	467
19	10	470
20	11	469
21	11	468
22	12	466
23	12	467
24	13	466
25	13	464
26	14	464
27	14	464
28	15	464
29	16	464
30	16	464
31	17	462
32	17	461
33	18	461
34	18	460
35	19	459
36	19	459
37	20	460
38	20	458
39	21	458
40	21	456
41	22	455
42	22	454
43	23	454
44	23	453
45	24	453
46	25	453
47	25	453
48	26	453
49	26	453
50	27	452
51	27	451
52	28	450
53	28	450
54	29	449
55	29	448
56	30	448
57	30	448
58	31	447
59	31	447
60	32	448
61	33	447
62	33	448
63	34	448
64	34	447
65	35	446
66	35	446
67	36	446
68	37	446
69	37	445
70	38	445
71	38	444
72	39	443
73	39	442
74	40	441
75	40	440
76	41	439
77	41	440
78	42	439
79	42	439
80	43	439
81	44	438
82	44	438
83	45	437
84	45	437
85	46	437
86	46	437
87	47	436
88	47	436
89	48	435
90	49	435
91	49	435
92	50	435
93	50	436
94	51	435
95	52	435
96	52	436
97	53	435
98	53	435
99	54	435
100	55	435
101	55	435
102	56	434
103	56	434
104	57	433
105	57	432
106	58	431
107	58	431
108	59	431
109	60	431
110	60	430
111	61	430
112	61	429
113	62	428
114	62	427
115	63	427
116	63	426
117	64	426
118	64	425
119	65	425
120	66	425
121	66	424
122	67	424
123	67	423
124	68	423
125	68	422
126	69	422
127	69	421
128	70	420
129	70	420
130	71	419
131	71	418
132	72	418
133	73	417
134	73	417
135	74	416
136	74	415
137	75	414
138	75	414
139	76	413
140	76	412
141	77	412
142	77	411
143	78	411
144	78	410
145	79	410
146	80	410
147	80	409
148	81	409
149	81	409
150	82	408
151	82	407
152	83	407
153	83	406
154	84	406
155	85	405
156	85	405
157	86	404
158	86	404
159	87	403
160	87	402
161	88	402
162	88	401
163	89	401
164	89	400
165	90	399
166	90	399
167	91	398
168	92	398
169	92	397
170	93	397
171	93	396
172	94	395
173	94	395
174	95	394
175	95	393
176	96	393
177	96	392
178	97	391
179	97	391
180	98	390
181	98	390
182	99	390
183	100	389
184	100	389
185	101	388
186	101	387
187	102	387
188	102	386
189	103	386
190	103	385
191	104	384
192	104	384
193	105	383
194	105	383
195	106	382
196	106	381
197	107	381
198	108	380
199	108	380
200	109	379
201	109	379
202	110	378
203	110	378
204	111	377
205	111	377
206	112	376
207	113	376
208	113	375
209	114	375
210	114	374
211	115	373
212	115	373
213	116	372
214	116	372
215	117	371
216	117	371
217	118	370
218	118	369
219	119	369
220	120	368
221	120	368
222	121	367
223	121	367
224	122	366
225	122	365
226	123	365
227	123	364
228	124	364
229	124	363
230	125	363
231	125	362
232	126	361
233	127	361
234	127	360
235	128	360
236	128	359
237	129	359
238	129	358
239	130	358
240	130	357
241	131	357
242	131	356
243	132	355
244	132	355
245	133	354
246	134	354
247	134	353
248	135	353
249	135	352
250	136	351
251	136	351
252	137	350
253	137	350
254	138	349
255	138	349
256	139	348
257	139	347
258	140	347
259	140	346
260	141	346
261	142	345
262	142	345
263	143	344
264	143	344
265	144	343
266	144	343
267	145	342
268	145	342
269	146	341
270	147	341
271	147	340
272	148	340
273	148	339
274	149	339
275	149	338
276	150	338
277	150	337
278	151	336
279	151	336
280	152	335
281	152	335
282	153	334
283	154	334
284	154	333
285	155	333
286	155	332
287	156	332
288	156	331
289	157	331
290	157	330
291	158	329
292	158	329
293	159	328
294	160	328
295	160	327
296	161	327
297	161	326
298	162	326
299	162	325
300	163	325
301	164	324
302	164	324
303	165	323
304	165	323
305	166	323
306	167	322
307	167	322
308	168	321
309	168	321
310	169	320
311	169	319
312	170	319
313	170	318
314	171	318
315	172	318
316	172	317
317	173	317
318	173	316
319	174	316
320	174	315
321	175	314
322	176	314
323	176	313
324	177	313
325	177	312
326	178	312
327	178	311
328	179	311
329	179	310
330	180	309
331	180	309
332	181	308
333	181	308
334	182	307
335	183	307
336	183	306
337	184	306
338	184	305
339	185	305
340	185	304
341	186	303
342	186	303
343	187	302
344	187	302
345	188	301
346	189	301
347	189	300
348	190	300
349	191	300
350	191	299
351	192	299
352	192	299
353	193	298
354	194	298
355	195	298
356	195	297
357	196	297
358	196	296
359	197	296
360	198	295
361	198	295
362	199	294
363	199	294
364	200	294
365	201	293
366	202	293
367	202	293
368	203	293
369	204	293
370	205	292
371	206	292
372	206	292
373	207	291
374	208	291
375	208	290
376	209	290
377	209	289
378	210	289
379	211	288
380	211	288
381	212	287
382	212	287
383	213	286
384	213	285
385	214	285
386	214	284
387	215	284
388	216	283
389	216	283
390	217	282
391	217	282
392	218	282
393	219	281
394	219	281
395	220	280
396	221	280
397	221	279
398	222	279
399	223	279
400	223	278
401	224	277
402	224	277
403	225	276
404	226	276
405	226	275
406	227	275
407	227	274
408	228	274
409	228	273
410	229	273
411	230	272
412	230	272
413	231	271
414	231	270
